,review,rating,autor(a),data
2427, This review may contain spoilers. I can handle the truth.  God this was so beautiful and heartbreaking. The animation in this film is some of the best I've ever seen in any animated movie period. All the music was great but it was the incredible story that affected me so much. Miguel's determination and eventual shock from the discovery that Hector is his grandfather etc. Fantastic movie and another great addition to Pixars already fantastic catalog.97/100  , ★★★★★ ,Logan,08 Jun 2019
2428," this is one of my favourite films ever made, i think. i will never not cry. the story and mexican culture in itself is so beautiful.we’re currently dogsitting for a friend and i think she could tell i was emotionally distressed at the end as she forced her way into my lap. thank u very much. ", ★★★★★ ,🥀,01 Jun 2019
2429," On the way to Grad Night at Disneyland, so get ready for me to log a lot of Disney movies today! Coco has beautiful animation ", ★★★★ ,Jared,21 May 2019
2430, Beautiful and awesome.More original pixar films pls.MVP: The little orange petals were amazing , ★★★★½ ,Will Buckner ⛱,05 May 2019
2431, Wey! Wey. jalan ver Coco y cantar recuérdame mientras nos abrazamos en la fogata a las 5 de la mañana? , ★★★★★ ,Jime 💜✨️ PUMPKIN SLUT,22 Apr 2019
2432," nothing else to add since i watched this less than a week ago, but literally this movie >>>>> ", ★★★★★ ,lizzie,21 Apr 2019
2433, Streaming on NetflixFinally got to watch this one. Very beautifully done film and Pixar / Disney always hit the nail on the head. For fans of any kind of music this is a must watch. I would like to see them turn the EPCOT Mexican Pavilion into this theming. I think it would do well. , ★★★★★ ,Taylor,13 Apr 2019
2434, No matter how many times I see this I'll need tissues. , ★★★★★ ,Lauren Stoolfire,03 Apr 2019
2435, :’) , ★★★★★ ,marija,29 Mar 2019
2436, ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ , ★★★★½ ,Jeff Norman,14 Mar 2019
2437," honestly i could just watch a five minute clip from this movie and start crying floods of tears,, pixar’s impact ", ★★★★★ ,🥀,26 Feb 2019
2438, cried 10 times , ★★★★★ ,sotos,10 Feb 2019
2439, i hate the dog in this more than life itself , ★★★ ,emma,08 Feb 2019
2440, J'aurais dû me partir une énième game de Grim Fandango à la place. , ★★½ ,Laurent Boutin,31 Jan 2019
2441," gael garcía bernal if you’re reading this i’m free on tuesday if you wanna meet on tuesday, because i’m free on tuesday and i would like to meet you on tuesday, can you meet up on tuesday? please if you are reading this, just know that i’m free on tuesday ", ★★★★★ ,k,31 Jan 2019
2442," beautiful skeleton family,singing ", ★★★★★ ,bethanypwns,27 Jan 2019
2443, Had to take some time before I wrote this review to give my eyes a chance to dry.Absolutely loved it. It’s a visually stunning film. It’s funny and beautiful and packs an emotional punch that only Pixar can deliver.The spirit animals were amazing. I want one. Dante is the best.I could go on forever but I’ll just keep going through things about it I love so I’ll just leave it at it’s absolutely amazing. , ★★★★★ ,Lisa Jackson,26 Jan 2019
2444, i put off watching this movie for so long cuz i knew i was gonna cry come una bitch and i did! , ★★★★★ ,⋆｡𖦹°⭒˚｡⋆,25 Jan 2019
2445," The characters felt a little thin, the plot felt a little schematic for the most part (a lot of it seemed to be an excuse to explore the [honestly pretty incredible looking] world Pixar had built), and I felt, um, pretty weird about the way they used Frida Kahlo, but it ends up landing some pretty significant emotional sucker punches by the end. Tears happened. ", ★★★★ ,Nathan,03 Jan 2019
2446, excuse me whilst I cry forever ,,Millicent,27 Dec 2018
2447, this film is full of life and beautiful colours. every attention to detail was adorable and the music was spectacular. , ★★★★ ,emilyishikawa,03 Dec 2018
2448,"  Vale, ahora ya sí. La primera vez no me terminó de funcionar por lo predecible que me resultó la verdadera identidad de Héctor y, en general, un desarrollo claramente correcto pero nada muy destacable para Pixar. Pero el caso es que he querido volver a verla porque permanecía el poso que deja su ""verdadera"" historia.Y es que si bien la trama, por así decirlo, aunque simpática e imaginativa, no me impresiona, aquí lo que importa es todo lo que…  ", ★★★★ ,Diego,30 Nov 2018
2449,"  From its opening voiceover narration, this feels clumsy. It tries so hard to come off conversational that I couldn’t help but find that it rang patronizingly false. But the slice of family life it peeks into is so gorgeously crafted, that the ship almost immediately rights itself.Coco is probably home to Pixar’s most well-realized human characters outside of the family from The Incredibles (sorry, Up, but that opening 20 minutes only goes so far once the rest of the…  ", ★★★★ ,Wade Garrett,19 Nov 2018
2450," There are very few movies that have left me feeling as good I did after watching Coco for the first time. I loved everything about this movie: the incredibly vibrant colors, the amazing songs, the story revolving around Dia de los Muertos. Such a charming story. It was a beautiful movie and a joy to watch. ", ★★★★★ ,Elan Rubin,15 Nov 2018
2451, I FUCKING LOVE THIS MOVIE SO MUCH IT HURTS MY HEART. I LOVE IT MORE EVERY TIME I WATCH IT. I CAN’T STOP CRYING. , ★★★★★ ,anna,07 Nov 2018
2452, This review may contain spoilers. I can handle the truth.  OKAY BUT DO YALL REMEMBER THAT SCENE WHERE HECTOR IS ABOUT TO CROSS THE BRIDGE AND HE MAKES HIS WAY TO THE FACIAL RECOGNITION SCREEN AND HES SO WORRIED THAT HE DIDNT MAKE IT TO THE OFRENDA LIKE FUCK  , ★★★★★ ,naomi,07 Nov 2018
2453, feliz día de muertos 💀💓 , ★★★★★ ,Laura,02 Nov 2018
2454, 1h45 of me crying¡Feliz Día de los Muertos! , ★★★★★ ,luamz,02 Nov 2018
2455, this one... this one hit real close to home. , ★★★★ ,camila,24 Oct 2018
2456, pretty sure that my entire family consists of heartless monsters because i was the only one who cried , ★★★½ ,makena,22 Sep 2018
2457, alternative title: “Skinny Legends”that whole third act just knocked the wind out of me. currently a mess don’t look at me , ★★★★ ,liv,22 Sep 2018
2458,"  Everytime I watch Coco, my opinion on it seems to change. I love the animation, which is undeniably stunning. The characters are great, and the music isnt bad at all. The story, even though extremely generic and cliche, is engaging. The biggest issue with the movie is that all of the plot has been done before, in most instances by pixar themselves. I liked it despite its flaws, and still hits me since I lost my childhood dog literally 2…  ", ★★★★ ,Josh from Raxus,18 Sep 2018
2459," This review may contain spoilers. I can handle the truth.   In Coco, everything is about the importance of family. So what does family offer us in this film: arrogance, pettiness, and control issues. Every family member in this movie is out for themselves and willing to sabotage others to further some sort of vendetta with another family member they have grown out of touch with. The only reason this story happens--on the living and dead side--is because this kid's elder is an asshole who won't listen to reason. On the…   ", ★ ,thegalorian,03 Sep 2018
2460," Watched on the plane ride back home. Needless to say, I cried in public. ", ★★★★★ ,𝐇𝐞𝐚𝐭𝐡𝐞𝐫 🌷,01 Sep 2018
2461, 5 cries out of 5 cries. , ★★★★★ ,Bri,31 Aug 2018
2462, when ernesto de la cruz said “remember me” i did NOT feel that , ★★★★★ ,dionne,13 Aug 2018
2463, bold of this movie to make me cry like this (for the 3rd time) , ★★★★ ,jo,08 Aug 2018
2464, i absolutely adore this film and yes i cried 3 times , ★★★★★ ,g,06 Aug 2018
2465, Watching Coco without crying? Never gonna happen. , ★★★★★ ,Laura,04 Aug 2018
2466, The Frida Kahlo scenes were amazing but honestly the visuals and the music was so soft for my heart. , ★★★★★ ,𝐌𝐀𝐑𝐈𝐀 🕊,01 Aug 2018
